state	request	payment	percentage	Cluster					
ND	29	7.379032258	0.254449388	0					
MO	29.89143108	6.907421824	0.231083678	0					
MI	30.94059046	6.955523199	0.224802536	0					
UT	28.32254281	6.859645039	0.242197358	0					
LA	30.19555512	7.046651775	0.233367188	0					
SD	27.64678452	6.794325521	0.245754638	0					
MD	37.06023272	7.385015241	0.199270612	1					
MA	35.64710729	7.3489985	0.206159744	1					
NY	38.5238345	7.563463242	0.196332046	1					
PA	37.92080911	7.185848974	0.189496193	1					
RI	39.67505105	7.260684188	0.183003777	1					
FL	37.98225784	7.085828999	0.186556287	1					
DE	33.36862685	7.467675047	0.223793298	1					
CT	38.62686387	7.428870344	0.192323932	1					
VA	35.38275759	7.283594288	0.205851516	1					
NH	55.90669016	7.025531692	0.125665313	2					
ME	48.3380315	7.034522361	0.145527696	2					
WA	51.11628899	7.075434159	0.138418385	2					
NJ	48.3494476	7.45279105	0.154144285	2					
WI	52.59582361	6.995583629	0.133006447	2					
SC	38.05943115	6.771533561	0.177919989	3					
OR	37.11185617	6.954141396	0.187383282	3					
OH	42.91088284	6.75798718	0.157488887	3					
VT	44.53866339	6.968648946	0.156462912	3					
TX	39.68814494	6.87518083	0.173230088	3					
MS	38.57607689	6.643612322	0.172221046	3					
WY	43.11275132	6.841335979	0.158684746	3					
MT	42.48007614	7.006382326	0.164933375	3					
CA	44.10472518	7.220955495	0.163722945	3					
GA	41.21965465	6.991734478	0.169621375	3					
HI	37.08673469	6.794388617	0.183202665	3					
IA	36.73357548	6.715729602	0.18282265	3					
NC	36.71817995	6.867785865	0.187040476	3					
IL	44.02406797	7.266730062	0.165062667	3					
AK	48.33318765	8.684359824	0.179676952	4					
OK	33.96283092	6.82394185	0.200923824	5					
IN	31.76805559	6.755977411	0.212665751	5					
KY	31.34703267	6.787626481	0.216531707	5					
NV	34.33871697	6.65234308	0.193727188	5					
NM	31.64869565	6.861214361	0.216792958	5					
MN	33.36664706	6.811650471	0.204145489	5					
TN	33.74449161	6.614152309	0.196006874	5					
WV	30.82401775	6.759983226	0.219308958	5					
CO	32.93727292	6.974333529	0.211745931	5					
NE	32.25461759	6.45803482	0.200220474	5					
AZ	33.73998786	6.928649958	0.205354252	5					
AR	29.34946294	6.462636615	0.220196078	5					
AL	33.71120946	6.756634187	0.200426929	5					
KS	30.32716408	6.646264237	0.219152184	5					
ID	27.58	6.206556542	0.225038308	5					
									
									
Cluster	request	payment	percentage	count					
0	29.332817	6.990433	0.238609	6					
1	37.131949	7.334442	0.198087	9					
2	51.261256	7.116773	0.139352	5					
3	40.45463	6.905439	0.171414	14					
4	48.333188	8.68436	0.179677	1					
5	32.060014	6.7	0.209482	15					
									
request	payment	percentage	Cluster						
count	50	50	50	50					
mean	37.241779	6.987939	0.192658	2.8					
std	6.822848	0.375347	0.029668	1.772811					
min	27.58	6.206557	0.125665	0					
0.25	31.889696	6.775557	0.172473	1					
0.5	36.725878	6.941396	0.194867	3					
0.75	40.836777	7.160844	0.215565	5					
max	55.90669	8.68436	0.254449	5					
